Time,CountryName,CountryCode,Literacy,Internetuse,SecureServers,GDPCapita
2000,Canada,CAN,..,51.3,..,24124.16917
2000,Cayman Islands,CYM,..,..,..,..
2000,Central African Republic,CAF,50.64517,0.053394174,..,243.5429317
2000,Chad,TCD,25.65421,0.035707076,..,166.0231785
2000,Channel Islands,CHI,..,..,..,43299.40114
2000,Chile,CHL,..,16.6,..,5101.368479
2000,China,CHN,90.92021,1.775913207,..,959.3724836
2000,Colombia,COL,..,2.207532993,..,2472.197831
2000,Comoros,COM,68.48923,0.271740607,..,645.8186908
2000,"Congo, Dem. Rep.",COD,..,0.005902114,..,405.4696531
2000,"Congo, Rep.",COG,..,0.026354732,..,998.1968562
2000,Costa Rica,CRI,94.86819,5.800253023,..,3808.363666
2000,Cote d'Ivoire,CIV,48.74076,0.231461671,..,642.254714
2000,Croatia,HRV,..,6.644882544,..,4919.628069
2000,Cuba,CUB,..,0.541182549,..,2741.110542
2000,Curacao,CUW,..,..,..,..
2000,Cyprus,CYP,..,15.25539437,..,14672.88206
2000,Czech Republic,CZE,..,9.780527888,..,6011.61522
2000,Denmark,DNK,..,39.17243086,..,30743.55917
2000,Djibouti,DJI,..,0.194500528,..,768.1760767
2000,Dominica,DMA,..,8.814844198,..,4785.993583
2000,Dominican Republic,DOM,..,3.704692356,..,2838.513335
2000,Ecuador,ECU,..,1.462188536,..,1451.290776
2000,"Egypt, Arab Rep.",EGY,..,0.641265038,..,1428.183004
2000,El Salvador,SLV,..,1.177397269,..,2008.466064
2000,Equatorial Guinea,GNQ,88.3083,0.132354665,..,1702.684901
2000,Eritrea,ERI,..,0.136711941,..,208.1969487
2000,Estonia,EST,99.7672,28.57695381,..,4070.032827
2000,Eswatini,SWZ,81.6607,0.926191777,..,1637.450072
2000,Ethiopia,ETH,..,0.015263767,..,123.8762057
2000,Faroe Islands,FRO,..,32.91639236,..,22479.57899
2000,Fiji,FJI,..,1.496854734,..,2076.013308
2000,Finland,FIN,..,37.24846174,..,24253.25042
2000,France,FRA,..,14.30792394,..,22364.02939
2000,French Polynesia,PYF,..,6.357063545,..,14530.7772
2000,Gabon,GAB,..,1.216140618,..,4116.460693
2000,"Gambia, The",GMB,36.81773,0.921794919,..,635.5637584
2000,Georgia,GEO,..,0.484746299,..,691.9977067
2000,Germany,DEU,..,30.2163466,..,23718.7467
2000,Ghana,GHA,57.89747,0.153615298,..,263.1124679
2000,Gibraltar,GIB,..,19.13163812,..,..
2000,Greece,GRC,..,9.138837308,..,12042.95373
2000,Greenland,GRL,..,31.74781123,..,19004.10729
2000,Grenada,GRD,..,4.063907991,..,5117.589923
2000,Guam,GUM,..,16.11312704,..,..
2000,Guatemala,GTM,..,0.712332905,..,1655.58773
2000,Guinea,GIN,..,0.095424924,..,340.0516918
2000,Guinea-Bissau,GNB,41.35777,0.230103171,..,297.7519336
2000,Guyana,GUY,..,6.611491566,..,946.0599372
2000,Haiti,HTI,..,0.231270715,..,462.4814381
2000,Honduras,HND,..,1.203855999,..,1088.779869
2000,"Hong Kong SAR, China",HKG,..,27.82776068,..,25756.66378
2000,Hungary,HUN,..,6.999676351,..,4633.312923
2000,Iceland,ISL,..,44.47053382,..,31746.02314
2000,India,IND,..,0.52753245,..,438.8646304
2000,Indonesia,IDN,..,0.925563864,..,780.0920744
2000,"Iran, Islamic Rep.",IRN,..,0.93419002,..,1657.169748
2000,Iraq,IRQ,74.0522,..,..,..
2000,Ireland,IRL,..,17.85046724,..,26241.51449
2000,Isle of Man,IMN,..,..,..,21551.77936
2000,Israel,ISR,..,20.87379,..,21042.9816
2000,Italy,ITA,..,23.11087424,..,20051.24215
2000,Jamaica,JAM,..,3.115778027,..,3381.939321
2000,Japan,JPN,..,29.99074036,..,38532.04088
2000,Jordan,JOR,..,2.623275422,..,1657.889256
2000,Kazakhstan,KAZ,..,0.668594403,..,1229.000958
2000,Kenya,KEN,82.22908,0.318059714,..,403.9797132
2000,Kiribati,KIR,..,1.785225474,..,796.7937634
2000,"Korea, Dem. People’s Rep.",PRK,..,0,..,..
2000,"Korea, Rep.",KOR,..,44.7,..,11947.57913
2000,Kosovo,XKX,..,..,..,1087.762401
2000,Kuwait,KWT,..,6.731395768,..,18389.38433
2000,Kyrgyz Republic,KGZ,..,1.041401145,..,279.6204249
2000,Lao PDR,LAO,69.58312,0.111044032,..,324.8450496
2000,Latvia,LVA,99.74657,6.319062083,..,3352.731296
2000,Lebanon,LBN,..,7.952743736,..,5334.903329
2000,Lesotho,LSO,86.25443,0.21180607,..,474.8197906
2000,Liberia,LBR,..,0.017702706,..,302.9964757
2000,Libya,LBY,..,0.187042622,..,7145.628494
2000,Liechtenstein,LIE,..,36.51522989,..,74624.55996
2000,Lithuania,LTU,..,6.427067495,..,3297.354701
2000,Luxembourg,LUX,..,22.88732797,..,48735.99549
2000,"Macao SAR, China",MAC,..,13.60858974,..,15702.85553
2000,"Macedonia, FYR",MKD,..,2.485566316,..,1854.145956
2000,Madagascar,MDG,70.68617,0.196394691,..,245.9390659
2000,Malawi,MWI,..,0.126780945,..,153.2595087
2000,Malaysia,MYS,..,21.38473116,..,4045.170471
2000,Maldives,MDV,..,2.203872939,..,2226.721729
2000,Mali,MLI,..,0.142545755,..,269.3483829
2000,Malta,MLT,..,13.11370871,..,11039.05651
2000,Marshall Islands,MHL,..,1.534271796,..,2126.91386
2000,Mauritania,MRT,51.20768,0.192031462,..,477.4761024
2000,Mauritius,MUS,84.30309,7.281535115,..,3861.032414
2000,Mexico,MEX,90.53562,5.081384153,..,6959.388717
2000,"Micronesia, Fed. Sts.",FSM,..,3.734862137,..,2170.92021
2000,Moldova,MDA,96.6538,1.282846417,..,354.0037982
2000,Monaco,MCO,..,42.18486345,..,82534.87362
2000,Mongolia,MNG,97.76885,1.255652004,..,474.2133361
2000,Montenegro,MNE,..,..,..,1627.072633
2000,Morocco,MAR,..,0.693791245,..,1332.382358
2000,Mozambique,MOZ,..,0.10959253,..,277.6486591
2000,Myanmar,MMR,89.94176,..,..,193.1874804
2000,Namibia,NAM,..,1.644739547,..,2018.680835
2000,Nauru,NRU,..,..,..,..
2000,Nepal,NPL,..,0.204651684,..,231.4255004
2000,Netherlands,NLD,..,43.98435137,..,25921.12794
2000,New Caledonia,NCL,..,13.93954882,..,12579.59511
2000,New Zealand,NZL,..,47.37955654,..,13640.98889
2000,Nicaragua,NIC,..,0.980216487,..,1016.020743
2000,Niger,NER,..,0.036261294,..,158.4055972
2000,Nigeria,NGA,..,0.064080808,..,567.6143571
2000,Northern Mariana Islands,MNP,..,..,..,..
2000,Norway,NOR,..,52,..,38146.71539
2000,Oman,OMN,..,3.520421417,..,8601.185906
2000,Pakistan,PAK,..,..,..,533.8624114
2000,Palau,PLW,..,..,..,7549.387223
2000,Panama,PAN,91.89962,6.554796477,..,4060.299035
2000,Papua New Guinea,PNG,57.34326,0.835249302,..,631.9453351
2000,Paraguay,PRY,..,0.747630712,..,1670.036989
2000,Peru,PER,..,3.076430611,..,1996.719689
2000,Philippines,PHL,92.60006,1.982253196,..,1038.911018
2000,Poland,POL,..,7.285428708,..,4492.727604
2000,Portugal,PRT,..,16.43046769,..,11502.39681
2000,Puerto Rico,PRI,..,10.47464821,..,16192.12697
2000,Qatar,QAT,..,4.863679179,..,29986.29015
2000,Romania,ROU,..,3.613717291,..,1668.162731
2000,Russian Federation,RUS,..,1.977230109,..,1771.586602
2000,Rwanda,RWA,64.8886,0.06283146,..,216.1727954
2000,Samoa,WSM,..,0.566392533,..,1540.689023
2000,San Marino,SMR,..,48.79949531,..,40188.85104
2000,Sao Tome and Principe,STP,..,4.638516816,..,..
2000,Saudi Arabia,SAU,79.35094,2.210691809,..,9126.954277
2000,Senegal,SEN,..,0.403967486,..,599.3735869
2000,Serbia,SRB,..,..,..,870.1365252
2000,Seychelles,SYC,..,7.395629183,..,7578.851053
2000,Sierra Leone,SLE,..,0.118254246,..,139.3147734
2000,Singapore,SGP,92.5494,36,..,23792.60707
2000,Sint Maarten (Dutch part),SXM,..,..,..,..
2000,Slovak Republic,SVK,..,9.426803201,..,5402.929754
2000,Slovenia,SVN,..,15.11025956,..,10227.73677
2000,Solomon Islands,SLB,..,0.481296806,..,1054.518572
2000,Somalia,SOM,..,0.02,..,..
2000,South Africa,ZAF,..,5.348559732,..,2982.000426
2000,South Sudan,SSD,..,..,..,..
2000,Spain,ESP,..,13.62496081,..,14676.70609
2000,Sri Lanka,LKA,..,0.647410011,..,869.4956921
2000,St. Kitts and Nevis,KNA,..,5.86281024,..,9554.381252
2000,St. Lucia,LCA,..,5.090483341,..,5310.879944
2000,St. Martin (French part),MAF,..,..,..,..
2000,St. Vincent and the Grenadines,VCT,..,3.245037411,..,3672.555287
2000,Sudan,SDN,61.34587,0.025785032,..,361.0305843
2000,Suriname,SUR,..,2.506411052,..,2006.121996
2000,Sweden,SWE,..,45.68765221,..,29283.00505
2000,Switzerland,CHE,..,47.1,..,37868.32306
2000,Syrian Arab Republic,SYR,..,0.18169858,..,1177.629268
2000,Tajikistan,TJK,99.45068,0.048599595,..,138.4319081
2000,Tanzania,TZA,..,0.11719444,..,306.7238273
2000,Thailand,THA,92.64654,3.689041279,..,2007.564826
2000,Timor-Leste,TLS,..,..,..,504.3557475
2000,Togo,TGO,53.1776,0.8,..,299.4116476
2000,Tonga,TON,..,2.434398044,..,2063.207236
2000,Trinidad and Tobago,TTO,..,7.721411474,..,6430.947262
2000,Tunisia,TUN,..,2.750740293,..,2213.914088
2000,Turkey,TUR,..,3.761685035,..,4316.561103
2000,Turkmenistan,TKM,..,0.133282183,..,643.1750108
2000,Turks and Caicos Islands,TCA,..,..,..,..
2000,Tuvalu,TUV,..,5.241639585,..,1458.817097
2000,Uganda,UGA,..,0.163714063,..,257.6303609
2000,Ukraine,UKR,..,0.716183762,..,635.7128467
2000,United Arab Emirates,ARE,..,23.62530088,..,33071.26869
2000,United Kingdom,GBR,..,26.82175435,..,27982.35576
2000,United States,USA,..,43.07916264,..,36449.85512
2000,Uruguay,URY,..,10.53905775,..,6871.897677
2000,Uzbekistan,UZB,98.64258,0.484347308,..,558.2268024
2000,Vanuatu,VUT,..,2.108336891,..,1469.849149
2000,"Venezuela, RB",VEN,..,3.359597465,..,4783.530592
2000,Vietnam,VNM,90.15613,0.254248276,..,388.2705386
2000,Virgin Islands (U.S.),VIR,..,13.81508054,..,..
2000,West Bank and Gaza,PSE,..,1.111306207,..,1476.17185
